package name,author,assignee,created at,closed at,link,version,is stable
azure-mgmt-redhatopenshift,gouthamMN,ChenxiJiang333,2023-10-02,2023-10-07,https://github.com/Azure/sdk-release-request/issues/4597,1.4.0,True
azure-mgmt-compute,grizzlytheodore,ChenxiJiang333,2023-09-27,2023-09-28,https://github.com/Azure/sdk-release-request/issues/4586,30.3.0,True
azure-mgmt-cosmosdb,AdrianSibajaRetana,ChenxiJiang333,2023-09-22,2023-09-28,https://github.com/Azure/sdk-release-request/issues/4551,9.3.0,True
azure-mgmt-playwrighttesting,venkatr21,ChenxiJiang333,2023-09-13,2023-09-28,https://github.com/Azure/sdk-release-request/issues/4515,1.0.0b1,
azure-mgmt-rdbms,xiaoxuqi-ms,ChenxiJiang333,2023-09-20,2023-09-27,https://github.com/Azure/sdk-release-request/issues/4531,10.2.0b11,
azure-mgmt-rdbms,ambrahma,ChenxiJiang333,2023-09-25,2023-09-27,https://github.com/Azure/sdk-release-request/issues/4567,10.2.0b11,
azure-mgmt-kubernetesconfiguration,bavneetsingh16,ChenxiJiang333,2023-08-28,2023-09-23,https://github.com/Azure/sdk-release-request/issues/4468,3.1.0,True
azure-mgmt-containerregistry,AntonioVT,ChenxiJiang333,2023-09-05,2023-09-23,https://github.com/Azure/sdk-release-request/issues/4497,10.2.0,True
azure-mgmt-hybridconnectivity,apmehrotra,ChenxiJiang333,2023-08-16,2023-09-21,https://github.com/Azure/sdk-release-request/issues/4440,1.0.0,True
azure-mgmt-cosmosdbforpostgresql,senatol,ChenxiJiang333,2023-08-23,2023-09-20,https://github.com/Azure/sdk-release-request/issues/4463,1.0.0,True
azure-mgmt-hybridconnectivity,apmehrotra,ChenxiJiang333,2023-08-16,2023-09-20,https://github.com/Azure/sdk-release-request/issues/4440,1.0.0b1,
azure-mgmt-managedapplications,tadelesh,ChenxiJiang333,2023-09-05,2023-09-20,https://github.com/Azure/sdk-release-request/issues/4487,1.0.0b1,
azure-mgmt-compute,grizzlytheodore,ChenxiJiang333,2023-08-12,2023-09-20,https://github.com/Azure/sdk-release-request/issues/4422,30.2.0,True
azure-mgmt-communication,Joeleniqs,ChenxiJiang333,2023-09-13,2023-09-19,https://github.com/Azure/sdk-release-request/issues/4523,2.1.0b1,
azure-mgmt-signalr,bjqian,ChenxiJiang333,2023-08-17,2023-09-19,https://github.com/Azure/sdk-release-request/issues/4442,2.0.0b1,
azure-mgmt-iothub,ethanann-ms,ChenxiJiang333,2023-08-17,2023-09-19,https://github.com/Azure/sdk-release-request/issues/4452,3.0.0,True
azure-mgmt-network,htippanaboya,ChenxiJiang333,2023-08-29,2023-09-19,https://github.com/Azure/sdk-release-request/issues/4476,25.1.0,True
azure-mgmt-recoveryservicessiterecovery,shivamverma-ms,ChenxiJiang333,2023-09-06,2023-09-19,https://github.com/Azure/sdk-release-request/issues/4503,1.1.0,True
azure-mgmt-redis,koderjoker,ChenxiJiang333,2023-09-07,2023-09-19,https://github.com/Azure/sdk-release-request/issues/4508,14.3.0,True
azure-mgmt-recoveryservicesbackup,zubairabid,ChenxiJiang333,2023-08-29,2023-09-18,https://github.com/Azure/sdk-release-request/issues/4470,7.0.0,True
azure-mgmt-containerservicefleet,serbrech,ChenxiJiang333,2023-09-06,2023-09-13,https://github.com/Azure/sdk-release-request/issues/4499,1.0.0b2,
azure-mgmt-maps,stack111,ChenxiJiang333,2023-08-04,2023-09-12,https://github.com/Azure/sdk-release-request/issues/4395,2.1.0,True
azure-mgmt-recoveryservices,ankur741999,ChenxiJiang333,2023-08-14,2023-09-05,https://github.com/Azure/sdk-release-request/issues/4426,2.5.0,True
azure-mgmt-sql,viparek,ChenxiJiang333,2023-08-29,2023-08-30,https://github.com/Azure/sdk-release-request/issues/4472,4.0.0b12,
azure-mgmt-apicenter,azaslonov,ChenxiJiang333,2023-07-26,2023-08-25,https://github.com/Azure/sdk-release-request/issues/4366,1.0.0b1,
azure-mgmt-avs,cataggar,ChenxiJiang333,2023-08-08,2023-08-25,https://github.com/Azure/sdk-release-request/issues/4414,8.0.0,True
azure-mgmt-hdinsightcontainers,aim-for-better,ChenxiJiang333,2023-08-11,2023-08-22,https://github.com/Azure/sdk-release-request/issues/4405,1.0.0b1,
azure-mgmt-monitor,msyyc,ChenxiJiang333,2023-08-22,2023-08-22,https://github.com/Azure/sdk-release-request/issues/4453,6.0.2,True
azure-mgmt-devspaces,ChenxiJiang333,ChenxiJiang333,2023-08-22,2023-08-22,https://github.com/Azure/sdk-release-request/issues/4454,1.0.0b3,
