foler/package name,pypi link,latest track1 version,latest track1 release date,track1 GA version,latest track2 version,latest track2 release date,track2 GA version,cli dependency,readme config,bot advice,readme link,multi api,whl size(MB),test coverage,passed,failed,skipped
consumption/azure-mgmt-consumption,https://pypi.org/pypi/azure-mgmt-consumption,3.0.0,2019/05/16,1.0.0,11.0.0b1,2022/12/8,8.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/consumption/resource-manager,,0.158,-, -, -, -
hybridkubernetes/azure-mgmt-hybridkubernetes,https://pypi.org/pypi/azure-mgmt-hybridkubernetes,0.2.0,2021/03/1,NA,1.2.0b1,2022/11/11,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/hybridkubernetes/resource-manager,,0.053,-, -, -, -
containerregistry/azure-mgmt-containerregistry,https://pypi.org/pypi/azure-mgmt-containerregistry,3.0.0rc17,2021/02/26,1.0.0,10.3.0,2023/11/20,8.0.0,track2_10.3.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/containerregistry/resource-manager,True,2.211,-, -, -, -
powerbidedicated/azure-mgmt-powerbidedicated,https://pypi.org/pypi/azure-mgmt-powerbidedicated,0.1.0,2020/01/19,NA,1.1.0b1,2022/10/31,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/powerbidedicated/resource-manager,,0.063,-, -, -, -
automation/azure-mgmt-automation,https://pypi.org/pypi/azure-mgmt-automation,0.1.1,2019/05/13,NA,1.1.0b3,2022/12/12,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/automation/resource-manager,,0.359,-, -, -, -
compute/azure-mgmt-imagebuilder,https://pypi.org/pypi/azure-mgmt-imagebuilder,0.4.0,2020/06/2,NA,1.4.0,2024/06/20,1.0.0,track2_1.3.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/imagebuilder/resource-manager,,0.074,-, -, -, -
redisenterprise/azure-mgmt-redisenterprise,https://pypi.org/pypi/azure-mgmt-redisenterprise,NA,NA,NA,3.1.0b2,2024/10/16,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/redisenterprise/resource-manager,,0.098,-, -, -, -
changeanalysis/azure-mgmt-changeanalysis,https://pypi.org/pypi/azure-mgmt-changeanalysis,1.0.0,2021/04/8,1.0.0,NA,NA,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/changeanalysis/resource-manager,,0.029,-, -, -, -
portal/azure-mgmt-portal,https://pypi.org/pypi/azure-mgmt-portal,NA,NA,NA,1.1.0b1,2022/11/2,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/portal/resource-manager,,0.059,-, -, -, -
oep/azure-mgmt-oep,https://pypi.org/pypi/azure-mgmt-oep,NA,NA,NA,1.0.0b2,2022/11/17,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/oep/resource-manager,,0.056,-, -, -, -
communication/azure-mgmt-communication,https://pypi.org/pypi/azure-mgmt-communication,NA,NA,NA,2.1.0,2024/03/18,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/communication/resource-manager,,0.086,-, -, -, -
labservices/azure-mgmt-labservices,https://pypi.org/pypi/azure-mgmt-labservices,0.1.1,2019/02/15,NA,2.1.0b1,2022/12/27,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/labservices/resource-manager,,0.126,-, -, -, -
voiceservices/azure-mgmt-voiceservices,https://pypi.org/pypi/azure-mgmt-voiceservices,NA,NA,NA,1.0.0,2023/05/22,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/voiceservices/resource-manager,,0.066,-, -, -, -
compute/azure-mgmt-vmwarecloudsimple,https://pypi.org/pypi/azure-mgmt-vmwarecloudsimple,0.2.0,2019/10/31,NA,1.0.0b2,2022/11/7,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/vmwarecloudsimple/resource-manager,,0.120,-, -, -, -
managementpartner/azure-mgmt-managementpartner,https://pypi.org/pypi/azure-mgmt-managementpartner,0.1.1,2019/05/18,NA,1.1.0b1,2022/11/2,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/managementpartner/resource-manager,,0.048,-, -, -, -
deviceupdate/azure-mgmt-deviceupdate,https://pypi.org/pypi/azure-mgmt-deviceupdate,NA,NA,NA,1.1.0,2023/12/18,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/deviceupdate/resource-manager,,0.093,-, -, -, -
oracledatabase/azure-mgmt-oracledatabase,https://pypi.org/pypi/azure-mgmt-oracledatabase,NA,NA,NA,1.0.0.post2,2024/07/13,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/oracle/resource-manager,,0.194,-, -, -, -
education/azure-mgmt-education,https://pypi.org/pypi/azure-mgmt-education,NA,NA,NA,1.0.0b2,2022/12/12,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/education/resource-manager,,0.078,-, -, -, -
support/azure-mgmt-support,https://pypi.org/pypi/azure-mgmt-support,1.0.0,2020/03/19,1.0.0,7.0.0,2024/04/24,6.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/support/resource-manager,,0.126,-, -, -, -
